threads, duration_ms
2, 21559
2, 20530
2, 21532
4, 21037
4, 22318
4, 25139
8, 25001
8, 20661
8, 20608
16, 20807
16, 20870
16, 21969
32, 20760
32, 21388
32, 21875
64, 21925
64, 21739
64, 21807
