threads, duration_ms
2, 114
2, 113
2, 133
2, 116
2, 116
4, 57
4, 63
4, 94
4, 81
4, 57
8, 34
8, 124
8, 48
8, 48
8, 54
16, 31
16, 30
16, 36
16, 96
16, 97
32, 21
32, 17
32, 101
32, 67
32, 106
64, 91
64, 52
64, 50
64, 50
64, 98
